timestamp,city,avg_temp,humidity,wind_kph
2024-05-24,Kabul,22.8,36,24.8
2024-05-25,Kabul,22.5,38,24.1
2024-05-26,Kabul,20.7,35,30.6
2024-05-27,Kabul,20.5,29,21.6
2024-05-28,Kabul,19.5,30,38.2
2024-05-29,Kabul,18.6,26,33.5
2024-05-30,Kabul,18.8,27,23.0
2024-05-31,Kabul,17.5,23.6,31.0
2024-05-24,Tirana,17.0,67,13.0
2024-05-25,Tirana,18.9,71,14.0
2024-05-26,Tirana,18.3,68,13.0
2024-05-27,Tirana,17.8,76,14.4
2024-05-28,Tirana,17.5,75,13.7
2024-05-29,Tirana,17.7,77,11.2
2024-05-30,Tirana,18.0,73,11.5
2024-05-31,Tirana,17.9,77.7,11.6
2024-05-24,Algiers,22.2,52,19.4
2024-05-25,Algiers,20.7,67,15.8
2024-05-26,Algiers,22.9,45,17.3
2024-05-27,Algiers,24.7,42,15.8
2024-05-28,Algiers,20.9,69,19.8
2024-05-29,Algiers,21.2,63,19.8
2024-05-30,Algiers,24.4,44,16.9
2024-05-31,Algiers,23.2,53.4,18.3
2024-05-24,Andorra la Vella,6.6,89,12.6
2024-05-25,Andorra la Vella,9.8,71,11.2
2024-05-26,Andorra la Vella,11.1,71,17.6
2024-05-27,Andorra la Vella,9.6,89,11.5
2024-05-28,Andorra la Vella,11.7,74,6.8
2024-05-29,Andorra la Vella,12.3,68,6.8
2024-05-30,Andorra la Vella,11.2,87,11.5
2024-05-31,Andorra la Vella,13.1,77.1,7.9
2024-05-24,Luanda,24.8,80,20.9
2024-05-25,Luanda,25.1,81,20.2
2024-05-26,Luanda,25.0,83,22.7
2024-05-27,Luanda,25.1,83,22.7
2024-05-28,Luanda,25.3,83,27.7
2024-05-29,Luanda,25.4,83,23.8
2024-05-30,Luanda,25.1,80,26.6
2024-05-31,Luanda,25.4,82.4,27.7
2024-05-24,Saint John's,28.4,74,28.8
2024-05-25,Saint John's,28.6,75,24.1
2024-05-26,Saint John's,28.4,79,25.9
2024-05-27,Saint John's,28.8,75,28.8
2024-05-28,Saint John's,28.3,75,25.9
2024-05-29,Saint John's,28.0,77,26.6
2024-05-30,Saint John's,28.0,78,28.1
2024-05-31,Saint John's,28.0,77.9,27.3
2024-05-24,Buenos Aires,9.4,63,16.9
2024-05-25,Buenos Aires,7.4,58,11.2
2024-05-26,Buenos Aires,9.0,63,11.5
2024-05-27,Buenos Aires,9.6,63,10.1
2024-05-28,Buenos Aires,9.6,71,7.2
2024-05-29,Buenos Aires,13.0,80,13.7
2024-05-30,Buenos Aires,14.2,74,7.9
2024-05-31,Buenos Aires,14.1,79.6,7.5
2024-05-24,Yerevan,16.1,69,19.1
2024-05-25,Yerevan,13.3,78,27.0
2024-05-26,Yerevan,15.1,70,10.1
2024-05-27,Yerevan,18.5,56,9.7
2024-05-28,Yerevan,19.5,54,17.3
2024-05-29,Yerevan,21.6,51,13.7
2024-05-30,Yerevan,21.2,51,23.4
2024-05-31,Yerevan,23.1,43.6,16.3
2024-05-24,Canberra,7.2,72,5.8
2024-05-25,Canberra,8.5,83,6.1
2024-05-26,Canberra,8.6,79,10.4
2024-05-27,Canberra,7.6,70,5.4
2024-05-28,Canberra,8.4,60,6.5
2024-05-29,Canberra,9.2,63,16.2
2024-05-30,Canberra,10.8,77,24.8
2024-05-31,Canberra,10.3,65.7,21.2
2024-05-24,Vienna,16.3,82,15.5
2024-05-25,Vienna,17.3,77,19.8
2024-05-26,Vienna,18.1,72,17.3
2024-05-27,Vienna,19.6,60,19.8
2024-05-28,Vienna,15.3,79,22.7
2024-05-29,Vienna,16.8,61,17.3
2024-05-30,Vienna,17.1,68,11.9
2024-05-31,Vienna,17.0,61.7,16.3
2024-05-24,Baku,18.7,61,24.1
2024-05-25,Baku,18.6,65,36.4
2024-05-26,Baku,20.0,56,31.7
2024-05-27,Baku,20.0,59,38.9
2024-05-28,Baku,21.3,45,29.9
2024-05-29,Baku,22.3,48,26.6
2024-05-30,Baku,24.0,43,20.9
2024-05-31,Baku,24.2,39.7,25.4
2024-05-24,Nassau,26.1,66,14.8
2024-05-25,Nassau,26.7,72,21.6
2024-05-26,Nassau,26.8,75,20.2
2024-05-27,Nassau,27.4,74,26.3
2024-05-28,Nassau,27.3,72,26.3
2024-05-29,Nassau,27.7,74,25.2
2024-05-30,Nassau,27.8,72,22.0
2024-05-31,Nassau,28.2,74.9,27.3
2024-05-24,Manama,30.7,56,24.1
2024-05-25,Manama,31.3,53,17.6
2024-05-26,Manama,31.7,56,22.3
2024-05-27,Manama,30.6,60,38.2
2024-05-28,Manama,30.9,58,39.2
2024-05-29,Manama,31.8,56,32.8
2024-05-30,Manama,31.5,61,24.1
2024-05-31,Manama,31.6,60.4,35.1
